Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1101,台泥,6516645.0,219571178.0,33.8,33.85,33.55,33.55,-0.15,4275.0
1102,亞泥,5840339.0,246328609.0,42.5,42.5,41.9,42.5,-0.2,2889.0
1103,嘉泥,118231.0,2116014.0,17.9,17.95,17.8,17.95,0.05,175.0
1104,環泥,156596.0,4590276.0,29.3,29.45,29.2,29.3,-0.05,193.0
1108,幸福,353209.0,5137676.0,14.5,14.6,14.5,14.6,0.1,93.0
1109,信大,148253.0,2743948.0,18.5,18.55,18.45,18.45,-0.05,111.0
1110,東泥,256288.0,5413342.0,21.0,21.3,20.9,21.05,0.0,129.0
1201,味全,123591.0,2257189.0,18.3,18.3,18.2,18.3,0.0,147.0
1203,味王,50412.0,2088335.0,42.05,42.05,41.05,41.35,-0.65,119.0
1210,大成,582081.0,31171527.0,53.8,53.8,53.2,53.7,-0.1,1139.0
1215,卜蜂,174776.0,17521172.0,100.0,100.5,99.5,100.5,0.0,511.0
1216,統一,7224109.0,613287565.0,85.8,86.0,84.6,84.6,-1.8,5029.0
1218,泰山,511195.0,10730432.0,21.0,21.1,20.9,21.0,0.05,271.0
1225,福懋油,149931.0,11510021.0,78.0,78.0,76.5,76.7,-1.3,113.0
1227,佳格,209308.0,7883664.0,37.8,37.8,37.6,37.65,-0.15,335.0
1229,聯華,553317.0,32167997.0,58.3,58.5,57.9,57.9,-0.4,1060.0
1231,聯華食,285411.0,36858090.0,129.0,130.5,128.0,128.5,-0.5,1154.0
1232,大統益,75434.0,10962325.0,146.5,146.5,145.0,145.0,-1.0,142.0
1234,黑松,22568.0,939580.0,41.6,41.9,41.55,41.6,0.0,49.0
1235,興泰,14865.0,1744009.0,111.5,123.0,111.5,116.5,-1.5,47.0
1256,鮮活果汁-KY,15292.0,2051372.0,134.5,136.0,133.0,136.0,1.5,56.0
1301,台塑,22220951.0,899028494.0,40.8,41.3,39.8,40.2,0.05,11706.0
1303,南亞,14726270.0,546827213.0,37.8,38.0,36.7,36.9,-0.6,7871.0
1304,台聚,2337362.0,28569876.0,12.45,12.45,12.05,12.25,-0.15,1793.0
1305,華夏,890845.0,11975096.0,13.45,13.65,13.3,13.5,0.05,523.0
1307,三芳,891809.0,34666278.0,39.4,39.4,38.65,38.75,-0.65,615.0
1308,亞聚,1096888.0,17142377.0,15.7,15.85,15.4,15.6,-0.05,1130.0
1309,台達化,1861071.0,29715815.0,15.8,16.35,15.55,16.2,0.45,1066.0
1310,台苯,948665.0,10371901.0,11.05,11.1,10.8,10.95,-0.05,1400.0
1312,國喬,3320176.0,37105944.0,11.3,11.35,11.05,11.2,-0.1,1220.0
1313,聯成,1860443.0,19498620.0,10.65,10.65,10.35,10.45,-0.2,1540.0
1314,中石化,6427262.0,51965533.0,8.1,8.16,8.03,8.06,-0.04,2112.0
1315,達新,3455.0,241054.0,70.7,70.7,70.7,70.7,0.2,29.0
1319,東陽,2299310.0,263302167.0,115.5,116.5,113.5,113.5,-1.5,2084.0
1321,大洋,209769.0,7075171.0,34.1,34.1,33.6,33.6,-0.25,133.0
1326,台化,14809529.0,492243869.0,33.65,33.95,32.7,33.15,-0.15,6879.0
1342,八貫,601360.0,64305725.0,107.5,108.0,105.5,107.0,1.0,1938.0
1402,遠東新,15325819.0,511207056.0,33.45,34.1,33.05,33.05,-0.7,4451.0
1409,新纖,1087015.0,17212752.0,15.9,15.95,15.8,15.85,-0.1,459.0
1419,新紡,3300.0,152932.0,46.2,46.7,46.05,46.05,-0.45,55.0
1434,福懋,801592.0,15981913.0,20.15,20.15,19.85,19.9,-0.25,663.0
1435,中福,94.0,3776.0,0.0,0.0,0.0,0.0,0.0,19.0
1436,華友聯,274411.0,33917896.0,125.5,125.5,122.5,123.0,-1.5,251.0
1437,勤益控,31033.0,1069600.0,34.35,34.55,34.35,34.45,-0.1,50.0
1440,南紡,335110.0,5147850.0,15.35,15.45,15.25,15.45,0.1,268.0
1442,名軒,2248500.0,185696562.0,82.7,83.4,81.7,83.4,1.4,1407.0
1444,力麗,4124475.0,38866046.0,9.2,9.56,9.19,9.47,0.35,1607.0
1446,宏和,1800691.0,103521096.0,58.8,58.8,56.4,57.7,-0.3,1425.0
1447,力鵬,2660022.0,20875807.0,7.71,7.92,7.71,7.82,0.16,967.0
1455,集盛,404585.0,4032901.0,10.0,10.0,9.93,9.97,-0.03,291.0
1457,宜進,115840.0,2307040.0,19.95,19.95,19.85,19.95,0.05,89.0
1476,儒鴻,325156.0,171163797.0,535.0,535.0,523.0,527.0,-1.0,701.0
1477,聚陽,950444.0,291873883.0,308.0,310.0,306.0,306.5,-3.5,1491.0
1503,士電,468323.0,93697752.0,200.0,202.0,197.0,200.0,0.5,795.0
1504,東元,9056967.0,478555252.0,52.5,53.3,52.3,52.8,0.6,6470.0
1513,中興電,3853716.0,613887087.0,159.5,160.5,157.5,159.5,-2.0,5472.0
1514,亞力,1260830.0,137296697.0,110.5,110.5,107.5,109.5,-0.5,1390.0
1515,力山,292556.0,9180042.0,31.8,31.8,30.95,31.4,-0.45,285.0
1519,華城,2902810.0,1646968242.0,560.0,576.0,554.0,573.0,15.0,3648.0
1522,堤維西,2058092.0,131032243.0,64.2,64.2,63.1,63.1,-1.2,1778.0
1532,勤美,2659792.0,90002428.0,34.3,34.4,33.55,33.55,-0.55,1245.0
1535,中宇,109689.0,6908185.0,62.5,63.5,62.5,62.9,0.6,137.0
1536,和大,3044497.0,187558523.0,62.0,62.6,61.1,61.1,-0.9,2472.0
1537,廣隆,354684.0,56182622.0,159.5,160.5,156.5,158.0,-2.0,453.0
1558,伸興,34562.0,3567584.0,103.0,104.0,103.0,103.0,0.0,135.0
1560,中砂,1219970.0,370939025.0,307.0,312.0,300.5,301.0,-3.5,1579.0
1563,巧新,284438.0,16830093.0,59.5,59.7,58.9,58.9,-0.4,249.0
1582,信錦,236503.0,21908468.0,93.4,93.4,92.3,92.4,-0.5,358.0
1583,程泰,13040.0,783240.0,60.2,60.2,59.9,59.9,-0.3,10.0
1590,亞德客-KY,648400.0,532320981.0,812.0,828.0,804.0,825.0,21.0,1100.0
1597,直得,579391.0,51845875.0,90.0,90.8,88.8,89.1,-0.9,622.0
1603,華電,254692.0,9600018.0,38.05,38.05,37.25,37.7,0.0,208.0
1604,聲寶,217173.0,6162419.0,28.45,28.5,28.3,28.3,0.0,168.0
1605,華新,24388113.0,627094707.0,25.7,26.0,25.1,25.9,0.5,10920.0
1608,華榮,1483106.0,41374488.0,28.3,28.3,27.75,27.75,-0.5,839.0
1609,大亞,2035237.0,90827690.0,45.05,45.05,44.45,44.6,-0.35,1817.0
1611,中電,1120231.0,19080380.0,17.4,17.4,16.9,16.9,-0.4,640.0
1612,宏泰,1585803.0,57477786.0,36.3,36.65,36.05,36.25,0.2,1196.0
1614,三洋電,6144.0,242191.0,39.4,39.4,39.4,39.4,0.0,14.0
1615,大山,176486.0,10253403.0,58.0,58.6,57.7,58.0,-1.1,363.0
1618,合機,702418.0,32463070.0,46.8,46.8,46.0,46.0,-0.25,608.0
1702,南僑,307748.0,16162424.0,52.5,52.8,52.4,52.5,0.0,376.0
1707,葡萄王,182693.0,28480445.0,157.0,157.5,155.0,155.5,-1.5,268.0
1708,東鹼,7744220.0,305024192.0,40.95,40.95,38.8,38.85,-2.45,4992.0
