Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1101,台泥,7320912.0,246193003.0,33.8,33.9,33.5,33.6,-0.2,4166.0
1102,亞泥,3494237.0,148621654.0,42.6,43.0,42.25,42.45,0.05,1958.0
1103,嘉泥,80387.0,1450298.0,18.05,18.1,17.9,18.1,0.0,129.0
1104,環泥,113332.0,3352112.0,29.55,29.7,29.5,29.55,-0.05,143.0
1108,幸福,275971.0,4008615.0,14.5,14.65,14.45,14.5,0.0,100.0
1109,信大,157684.0,2911916.0,18.5,18.5,18.4,18.4,-0.05,100.0
1110,東泥,185060.0,3886757.0,21.15,21.2,20.85,20.85,-0.4,144.0
1201,味全,158758.0,2900960.0,18.3,18.3,18.2,18.3,0.0,138.0
1203,味王,17013.0,715297.0,42.15,42.15,42.0,42.15,-0.15,60.0
1210,大成,540040.0,28870150.0,53.6,53.7,53.3,53.5,-0.2,589.0
1215,卜蜂,347298.0,34683409.0,100.0,100.5,99.0,100.0,0.1,1014.0
1216,統一,3173748.0,271875937.0,86.5,86.5,85.4,85.6,-0.9,2193.0
1218,泰山,429844.0,9012434.0,20.95,21.1,20.85,20.95,0.0,326.0
1225,福懋油,21798.0,1708461.0,79.6,79.6,77.2,78.3,0.0,226.0
1227,佳格,192878.0,7269846.0,37.6,37.9,37.6,37.7,0.0,205.0
1229,聯華,853242.0,49930299.0,58.5,58.8,58.3,58.5,0.3,914.0
1231,聯華食,505838.0,63681893.0,123.5,127.5,123.5,127.0,5.0,1025.0
1232,大統益,24924.0,3648980.0,147.0,147.5,146.0,146.0,0.0,93.0
1234,黑松,26439.0,1104646.0,41.7,41.9,41.65,41.8,0.05,80.0
1235,興泰,12850.0,1652590.0,129.0,132.5,126.0,126.0,0.0,234.0
1256,鮮活果汁-KY,20942.0,2822154.0,133.0,136.0,133.0,135.5,2.0,88.0
1301,台塑,13249538.0,540137325.0,41.4,41.5,40.5,40.5,-0.9,9733.0
1303,南亞,12359746.0,470943187.0,38.85,38.85,37.9,37.9,-0.8,8303.0
1304,台聚,2479971.0,31250363.0,12.85,12.85,12.5,12.5,-0.3,2715.0
1305,華夏,752008.0,10092111.0,13.55,13.55,13.35,13.4,-0.1,533.0
1307,三芳,2464479.0,98048121.0,39.25,40.25,39.15,39.95,0.85,1486.0
1308,亞聚,889393.0,14078011.0,15.95,16.1,15.65,15.65,-0.3,882.0
1309,台達化,540039.0,8518614.0,15.95,15.95,15.7,15.75,-0.1,472.0
1310,台苯,631364.0,7060687.0,11.25,11.25,11.1,11.1,-0.15,690.0
1312,國喬,2375529.0,27009737.0,11.45,11.55,11.3,11.3,-0.15,1370.0
1313,聯成,712285.0,7612906.0,10.65,10.8,10.65,10.65,0.0,408.0
1314,中石化,6044907.0,49040914.0,8.16,8.16,8.08,8.08,-0.04,2069.0
1315,達新,12489.0,877448.0,70.2,70.4,70.2,70.4,-0.1,19.0
1319,東陽,1588668.0,187332232.0,118.0,119.0,117.0,117.5,0.5,2498.0
1321,大洋,234721.0,7750433.0,33.05,33.1,32.95,32.95,0.0,97.0
1326,台化,7926683.0,267283549.0,34.15,34.3,33.5,33.5,-0.6,4136.0
1342,八貫,263106.0,26625114.0,101.0,102.5,100.0,101.0,0.0,262.0
1402,遠東新,10862771.0,364824574.0,33.75,33.9,33.25,33.55,-0.05,3471.0
1409,新纖,935016.0,14857926.0,15.9,16.0,15.8,15.9,-0.05,363.0
1419,新紡,6080.0,280485.0,46.2,46.25,46.2,46.2,-0.4,16.0
1434,福懋,572400.0,11501583.0,20.25,20.25,20.0,20.05,-0.25,460.0
1435,中福,522.0,21636.0,0.0,0.0,0.0,0.0,0.0,8.0
1436,華友聯,194087.0,23760790.0,123.5,123.5,121.5,122.0,-1.5,261.0
1437,勤益控,32548.0,1120297.0,34.3,34.5,34.3,34.45,0.05,69.0
1440,南紡,256549.0,3916105.0,15.25,15.35,15.2,15.3,0.05,226.0
1442,名軒,3569748.0,289788895.0,81.1,82.2,80.2,81.4,0.7,2171.0
1444,力麗,393243.0,3584924.0,9.1,9.17,9.1,9.11,-0.06,329.0
1446,宏和,1051987.0,58635647.0,55.9,56.5,55.2,55.4,-0.5,975.0
1447,力鵬,2483157.0,18951154.0,7.69,7.69,7.6,7.61,-0.06,2463.0
1455,集盛,239168.0,2395507.0,10.05,10.1,9.99,10.0,-0.05,215.0
1457,宜進,60067.0,1195501.0,19.95,19.95,19.85,19.95,0.05,56.0
1476,儒鴻,602538.0,318974961.0,532.0,534.0,526.0,532.0,1.0,611.0
1477,聚陽,1038133.0,325517869.0,312.5,315.0,311.0,314.0,1.5,1217.0
1503,士電,399043.0,80758618.0,204.5,205.5,200.5,200.5,-2.5,690.0
1504,東元,3199407.0,167668752.0,52.3,52.9,52.1,52.1,0.2,2404.0
1513,中興電,4741639.0,744187680.0,158.5,159.5,155.5,155.5,-2.0,4783.0
1514,亞力,1698978.0,189457220.0,112.5,114.0,110.0,110.0,-2.0,1698.0
1515,力山,201109.0,6419884.0,32.3,32.3,31.75,31.85,-0.2,222.0
1519,華城,2801322.0,1605488605.0,578.0,585.0,565.0,567.0,-5.0,4091.0
1522,堤維西,2765854.0,179505370.0,65.5,65.6,64.5,64.5,-0.6,2034.0
1532,勤美,1559571.0,52073483.0,33.6,33.7,33.2,33.25,-0.15,903.0
1535,中宇,20682.0,1288011.0,62.0,62.6,62.0,62.2,0.2,41.0
1536,和大,6619692.0,422348670.0,65.3,65.5,63.1,63.1,-2.0,4589.0
1537,廣隆,264067.0,42529552.0,161.0,162.0,160.0,161.0,0.0,318.0
1558,伸興,68523.0,7078063.0,103.5,104.0,103.0,103.5,0.0,81.0
1560,中砂,1781100.0,549701168.0,309.0,311.0,306.0,308.5,-0.5,9446.0
1563,巧新,537644.0,32025140.0,59.9,60.4,59.1,59.2,-0.4,423.0
1582,信錦,813080.0,76369332.0,94.9,94.9,93.4,93.4,-1.0,758.0
1583,程泰,8214.0,491896.0,59.8,60.1,59.8,59.9,-0.1,11.0
1590,亞德客-KY,610561.0,487044205.0,804.0,807.0,794.0,795.0,-5.0,935.0
1597,直得,1233274.0,112692308.0,90.9,93.0,89.2,91.4,1.4,1274.0
1603,華電,252322.0,9459700.0,37.95,37.95,37.15,37.15,-0.55,406.0
1604,聲寶,71890.0,2031065.0,28.3,28.3,28.2,28.3,0.0,113.0
1605,華新,11708495.0,296122031.0,25.35,25.5,25.2,25.25,0.0,5723.0
1608,華榮,851140.0,24052375.0,28.5,28.55,28.05,28.05,-0.25,640.0
1609,大亞,2590925.0,116930973.0,45.75,45.75,44.9,44.95,-0.45,1915.0
1611,中電,1581997.0,27712622.0,17.5,17.7,17.3,17.3,-0.1,891.0
1612,宏泰,693602.0,24436399.0,35.2,35.55,35.0,35.1,0.1,560.0
1614,三洋電,32005.0,1264345.0,39.2,39.75,39.2,39.45,0.25,30.0
1615,大山,63374.0,3757339.0,58.7,59.8,58.6,59.3,0.5,99.0
1618,合機,779864.0,36862921.0,47.2,47.85,47.0,47.0,-0.2,746.0
1702,南僑,313683.0,16565218.0,52.8,53.0,52.7,52.7,0.0,333.0
1707,葡萄王,139302.0,21905283.0,157.5,157.5,156.5,157.5,0.0,312.0
1708,東鹼,4589650.0,192812499.0,41.4,42.85,41.25,41.4,0.15,2774.0
1709,和益,392650.0,8488799.0,21.55,21.85,21.5,21.55,-0.1,286.0
1710,東聯,1629476.0,25637442.0,16.1,16.1,15.6,15.6,-0.4,1295.0
1711,永光,3192177.0,73938459.0,23.2,23.65,22.8,22.85,-0.15,1700.0
1712,興農,311697.0,14194486.0,45.9,45.9,45.35,45.35,-0.15,283.0
1713,國化,108073.0,5108029.0,47.05,48.25,47.0,47.0,-0.3,97.0
1714,和桐,891454.0,7480070.0,8.4,8.45,8.37,8.38,-0.01,518.0
1717,長興,833046.0,24670846.0,29.75,29.75,29.55,29.55,-0.05,489.0
1718,中纖,3776500.0,30746948.0,8.27,8.27,8.08,8.09,-0.17,2047.0
1720,生達,113677.0,7332021.0,64.7,64.7,64.2,64.3,-0.3,297.0
1722,台肥,1424138.0,78493352.0,55.3,55.5,54.8,54.9,-0.3,1066.0
1723,中碳,100026.0,9676347.0,97.1,97.2,96.3,96.4,-0.7,206.0
1725,元禎,37972.0,1552986.0,41.4,41.45,40.55,40.55,-0.4,47.0
1726,永記,38000.0,2924500.0,76.9,77.6,76.4,76.5,0.1,25.0
1736,喬山,2374943.0,448645097.0,183.0,195.0,179.5,190.0,5.5,4103.0
1737,臺鹽,111862.0,3610337.0,32.45,32.5,32.2,32.25,-0.15,97.0
1760,寶齡富錦,304747.0,26888008.0,89.2,89.2,87.5,87.7,-1.4,416.0
1773,勝一,235106.0,39419205.0,168.5,170.5,166.0,166.5,0.5,290.0
1786,科妍,310156.0,28667309.0,93.3,93.3,91.7,91.9,-0.8,374.0
1789,神隆,252154.0,5957629.0,23.85,23.95,23.5,23.5,-0.45,214.0
1795,美時,1985614.0,571981626.0,287.0,291.5,285.5,286.0,-1.0,2648.0
1802,台玻,17147958.0,346054566.0,20.6,20.7,19.65,19.85,-0.65,6817.0
1808,潤隆,876780.0,35491014.0,40.7,40.7,40.3,40.5,0.05,813.0
1903,士紙,54174.0,2960698.0,55.2,55.2,54.4,54.5,-0.6,57.0
1904,正隆,2232361.0,48123722.0,21.75,21.75,21.45,21.45,-0.3,1466.0
1905,華紙,737237.0,13269759.0,18.15,18.2,17.9,17.95,-0.2,439.0
1907,永豐餘,448996.0,13839049.0,30.9,30.95,30.7,30.7,-0.2,258.0
1909,榮成,465412.0,5753144.0,12.5,12.5,12.3,12.3,-0.15,294.0
2002,中鋼,13081564.0,278886331.0,21.65,21.65,21.2,21.2,-0.45,7283.0
2006,東和鋼鐵,1275856.0,89920392.0,71.0,71.0,70.0,70.3,-0.7,4053.0
2009,第一銅,807983.0,31560760.0,39.55,39.6,38.85,38.9,-0.6,778.0
2010,春源,442528.0,8167536.0,18.55,18.6,18.35,18.4,-0.1,525.0
2012,春雨,113706.0,2966207.0,26.3,26.45,25.85,25.9,-0.4,122.0
2013,中鋼構,37047.0,1952670.0,52.6,53.2,52.5,53.2,0.6,252.0
2014,中鴻,2838793.0,53889917.0,19.2,19.2,18.9,18.95,-0.15,1644.0
2015,豐興,273983.0,20367906.0,74.5,75.2,73.4,74.8,0.4,264.0
2017,官田鋼,281307.0,3201985.0,11.5,11.5,11.35,11.35,-0.1,326.0
2020,美亞,321412.0,9367486.0,29.0,29.25,29.0,29.1,0.1,242.0
2023,燁輝,1001071.0,15085781.0,15.2,15.2,15.0,15.1,0.0,401.0
2027,大成鋼,5947776.0,199765680.0,34.0,34.1,33.4,33.5,-0.35,2909.0
2028,威致,82851.0,1843058.0,22.5,22.5,22.15,22.4,0.2,80.0
2029,盛餘,115248.0,2856655.0,24.8,24.9,24.75,24.75,-0.05,83.0
2031,新光鋼,415698.0,20578506.0,49.9,49.9,49.35,49.55,-0.1,330.0
2034,允強,570319.0,11340822.0,20.1,20.1,19.75,19.85,-0.2,500.0
2049,上銀,4397416.0,1079805150.0,235.5,251.0,235.5,246.5,11.0,5106.0
2059,川湖,2135596.0,3416694085.0,1575.0,1640.0,1560.0,1595.0,25.0,2982.0
